line,0,1,swap,n,n2
103v.11.3,"9,N,c,c,9","o,N,c,c,9",$ → o,9,4
27r.1.2,"8,a,n","8,a,Z",n → Z,9,2
58v.3.2,"o,N,a,n","o,N,a,Z",n → Z,9,2
80v.7.1,"o,N,a,n","o,N,a,Z",n → Z,9,2
104r.6.2,"a,n","a,Z",n → Z,9,2
111r.11.2,"a,n","a,Z",n → Z,9,2
114v.4.2,"8,a,n","8,a,Z",n → Z,9,2
43r.1.3,"9,M,9","o,M,9",$ → o,9,1
75v.5.2,"9,M,c,8,9","o,M,c,8,9",$ → o,9,1
76v.1.5,"9,N,c,8,9","o,N,c,8,9",$ → o,9,1
78v.1.2,"c,M,c,8,9","o,M,c,8,9",$ → o,9,1
104r.2.4,"x,N,c,c,8,9","x,N,c,o,8,9",$ → o,9,1
80r.2.3,"4,o,N,a,n","4,o,N,a,Z",n → Z,9,1
80v.7.6,"o,x,N,a,n","o,x,N,a,Z",n → Z,9,1
112r.1.4,"o,M,a,n","o,M,a,Z",n → Z,9,1
76r.1.4,"4,o,N,c,8,9","4,o,N,c,c,9",8 → $,8,3
77r.2.13,"4,o,N,c,8,9","4,o,N,c,c,9",8 → $,8,3
84v.2.14,"4,o,N,c,8,9","4,o,N,c,c,9",8 → $,8,3
79r.3.6,"o,M,a,n","o,M,a,x",n → x,8,3
82v.8.3,"o,M,a,n","o,M,a,x",n → x,8,3
108v.12.1,"a,n","a,x",n → x,8,3
112v.4.5,"a,n","a,x",n → x,8,3
113r.2.3,"o,M,a,n","o,M,a,x",n → x,8,3
116r.6.8,"a,n","a,x",n → x,8,3
75v.5.3,"o,M,c,8,9","o,M,c,c,9",8 → $,8,2
116r.2.3,"o,M,c,8,9","o,M,c,c,9",8 → $,8,2
40v.2.1,"cc,c,8,9","N,c,8,9",cc → N,8,2
107v.15.2,"cc,c,8,9","N,c,8,9",cc → N,8,2
85r.8.3,"o,M,a,Z","9,M,a,Z",o → 9,8,2
115r.13.3,"o,M,a,Z","9,M,a,Z",o → 9,8,2
106v.4.2,"o,M,a,x","o,M,a,Q",x → Q,8,2
107r.11.4,"o,M,a,x","o,M,a,Q",x → Q,8,2
112r.9.1,"o,N,c,8,9","o,N,c,c,9",8 → $,8,1
112v.4.4,"4,o,N,c,c,8,9","4,o,N,c,c,c,9",8 → $,8,1
112v.9.1,"4,o,P2,cc,c,8,9","4,o,P2,cc,c,c,9",8 → $,8,1
5r.1.2,"o,cc,c,9","o,N,c,9",cc → N,8,1
45v.1.3,"cc,9","N,9",cc → N,8,1
75v.5.7,"2,o,x,cc,c,8,9","2,o,x,N,c,8,9",cc → N,8,1
107r.7.2,"cc,a,x","N,a,x",cc → N,8,1
108v.14.2,"cc,c,o,x","N,c,o,x",cc → N,8,1
111r.13.2,"cc,c,c,o,x","N,c,c,o,x",cc → N,8,1
