line,t1,t2,t3,n
106r.5.1,"P2,cc,c,o,x","c^c,c,o,N,a,m","o,M,c,9",1
113r.3.1,"P2,cc,o,2,o,2","cc,c,o","a,Z",1
115v.2.1,"P2,cc,o,8,9","o,8,a,m","cc,c,P2,c,9",1
113r.9.1,"P2,cc,o,8,a,i,Z","c^c,o,M,c,8,9","4,o,P2,cc,o,8,9",1
106v.12.1,"P2,cc,o,8,a,m","N,cc,c,c,o,Z","a,x",1
105v.5.1,"P2,cc,o,Z","cc,c,8,a,m","o,N,a,m",1
112v.5.1,"P2,cc,o,Z,a,m?","a,Z","a,x,cc,c,8,9",1
104v.8.1,"P2,cc,o,Z,o,Z","c^c,o,Z","c^c,c,o,x",1
116r.5.1,"P2,cc,o,c,M,a,x","o,M,c,8,a,x","o,M,a,x",1
113v.2.1,"P2,cc,o,c,M,c,c,o,8,9","N,c,c,o,8,a,Z","o,M,c,c,8,9",1
112r.6.1,"P2,cc,o,x,N,c,c,8,9","o,N,cc,o,m+","a,N,9",1
103r.11.1,"P2,cc,o,x,N,cc,8,9","c^c,c,c,N,c,9","4,o,N,c,9",1
104r.12.1,"P2,cc,o,x,o,Z","a,Z","a,m",1
104v.12.1,"P2,o,2,a,i,Z,9","9,M,c,8,a,Z","cc,c,8,9",1
103r.5.1,"P2,o,8,a,Z","c^c,c,o,Z","4,o,M,c,8,9",1
106r.6.1,"P2,o,8,a,Z,o,a,Z","o,M,c,c,o,x,cc,o,Z","c^c,o,x",1
106r.9.1,"P2,o,8,c^c,c,8,9","4,o,N,cc,c,8,9","x,N,c,cc,o,Z",1
107v.13.1,"P2,o,N,a,Z","a,Z","N,c,c,9",1
106r.3.1,"P2,o,Z,a,Z,cc,9","o,Z,a,Z","o,x,N,a,m",1
105v.6.1,"P2,o,Z,a,i,Z","cc,o,P2,cc,8,9","cc,c,8,a,n",1
107v.15.1,"P2,o,Z,a,n","o,N,a,n","o,N,c,cc,8,9",1
106r.11.1,"P2,o,Z,a,x","c^c,o","N,c,c,o,8,9",1
108r.13.1,"P2,o,Z,o,x","M,c,8,o","x,cc,8,a,n",1
105v.10.1,"P2,o,a,Z","N,cc,o,8,a,m","4,o,a,i,Z",1
112r.3.1,"P2,o,a,Z,a,x,cc,o,Z","o,c,M,c,9","o,M,c,8,9",1
107r.11.1,"P2,o,a,Z,a,x,o,Z,a,Z","o,P2,cc,c,9","4,o,M,c,c,8,9",1
107r.6.1,"P2,o,a,x,o,2,9","c^c,c,9","M,a,Z",1
114r.13.1,"P2,o,c,8,a,i,2","4,o,M,o,x","4,o,8,a,m",1
103v.2.1,"P2,o,c,c,o,Z","o,x,N,c,c,9","cc,c,N,9",1
111r.16.1,"P2,o,c,o,N,c,c,9","x,N,c,c,8,9","M,c,8,a,n",1
115r.10.1,"P2,o,c^c,c,o,2","a,Z,a,x","cc,a,m",1
103r.2.1,"P2,o,cc,a,Z,a,x","o,N,c,8,a,Z","c^c,c,8,9",1
108r.3.1,"P2,o,cc,c,8,9","c^c,9","c^c,o,N,c,c,8,a,Z",1
103v.1.1,"P2,o,x,8,a,Z","o,x,P1,cc,c,9","4,o,N,9",1
112r.10.1,"P2,o,x,N,c,c,8,9","4,o,P2,a,x","o,M,c,8,9",1
108v.6.1,"P2,o,x,N,c,c,8,a,x","c^c,c,o","N,cc,c,9",1
111v.3.1,"P2,o,x,N,m","cc,c,o,P2,a,m","o,M,a,n",1
103r.18.1,"P2,o,x,a,Z,a,Z","x,c^c,c,8,9","4,o,M,o,x,a,m",1
111v.2.1,"P2,o,x,a,Z?,a,Z","o,N,c^c,c,9","4,o,N,a,n",1
105v.1.1,"P2,o,x,a,i,Z,9","o,a,i,Z","o,x,P2,cc,c,c,9",1
111r.13.1,"P2,o,x,a,x","c^c,c,8,a,x","P2,cc,c,8,9",1
